ID,Diâmetro (mm),Altura (mm),Massa (g),Resistência (kgf),Recozidos,diametro,altura,massa,resistencia,recozimento,resistencia_original,falha_ensaio,raio,volume,densidade_aparente,grupo,residuo,predicao,anomalia,grupo_final,suspeito
278,13.12,24.41,3.5,780,NÃO,13.12,24.41,3.5,780.0,0,780.0,0,6.56,3300.0865558837045,0.0010605782426402,,-119.01070544926301,899.010705449263,1,nao_outlier,0
283,13.41,22.39,3.4,814,NÃO,13.41,22.39,3.4,814.0,0,814.0,0,6.705,3162.288805471788,0.0010751706150674,,-75.67750497631937,889.6775049763194,1,nao_outlier,0
282,13.38,18.43,2.8,817,NÃO,13.38,18.43,2.8,817.0,0,817.0,0,6.69,2591.3581663741743,0.0010805144716516,,-16.678302138657727,833.6783021386577,1,nao_outlier,0
296,14.37,26.86,4.6,891,NÃO,14.37,26.86,4.6,891.0,0,891.0,0,7.185,4356.2162021551785,0.0010559622816067,,-110.67591065164265,1001.6759106516427,1,nao_outlier,0
344,18.05,34.05,9.03,1278,NÃO,18.05,34.05,9.03,1278.0,0,1278.0,0,9.025,8712.873528686618,0.001036397460639,,-137.13669160304426,1415.1366916030443,-1,outlier,1
270,12.5,17.15,2.2,753,NÃO,12.5,17.15,2.2,753.0,0,753.0,0,6.25,2104.6216409790995,0.0010453185300216,,-24.6790993009962,777.6790993009962,-1,outlier,1
329,16.05,30.2,6.6,1032,NÃO,16.05,30.2,6.6,1032.0,0,1032.0,0,8.025,6110.080017675054,0.0010801822530814,,-156.33992011051487,1188.3399201105149,1,nao_outlier,0
326,16.1,30.2,6.5,1079,NÃO,16.1,30.2,6.5,1079.0,0,1079.0,0,8.05,6148.208349614428,0.0010572185635848,,-100.00671963757122,1179.0067196375712,1,nao_outlier,0
314,15.35,28.95,5.8,1001,NÃO,15.35,28.95,5.8,1001.0,0,1001.0,0,7.675,5357.414009960587,0.0010826118700583,,-112.67431632696594,1113.674316326966,1,nao_outlier,0
340,17.38,23.2,7.3,1210,NÃO,17.38,23.2,7.3,1210.0,0,1210.0,0,8.69,5503.9871397158495,0.0013263112385064,,-43.67232342111993,1253.67232342112,-1,outlier,1
271,12.4,20.8,2.7,714,NÃO,12.4,20.8,2.7,714.0,0,714.0,0,6.2,2511.8666893630266,0.0010748978086431,,-110.3451016657142,824.3451016657142,1,nao_outlier,0
285,13.3,18.4,2.8,814,NÃO,13.3,18.4,2.8,814.0,0,814.0,0,6.65,2556.295092670093,0.0010953352013344,,-19.678302138657727,833.6783021386577,1,nao_outlier,0
303,14.86,20.48,3.7,984,NÃO,14.86,20.48,3.7,984.0,0,984.0,0,7.43,3551.8731936186196,0.0010417038554888,,66.3228936048497,917.6771063951503,1,nao_outlier,0
307,14.77,24.71,4.6,971,NÃO,14.77,24.71,4.6,971.0,0,971.0,0,7.385,4233.73447776573,0.0010865112170254,,-30.675910651642653,1001.6759106516427,1,nao_outlier,0
274,13.15,21.87,3.2,787,NÃO,13.15,21.87,3.2,787.0,0,787.0,0,6.575,2970.2306142137836,0.0010773574229174,,-84.0111040304323,871.0111040304323,1,nao_outlier,0
281,13.07,24.41,3.6,787,NÃO,13.07,24.41,3.6,787.0,0,787.0,0,6.535,3274.981386057513,0.0010992428889294,,-121.34390592220666,908.3439059222067,1,nao_outlier,0
323,15.79,29.56,6.5,1085,NÃO,15.79,29.56,6.5,1085.0,0,1085.0,0,7.895,5788.400483220134,0.0011229354324813,,-94.00671963757122,1179.0067196375712,1,nao_outlier,0
320,15.84,26.47,6.2,1082,NÃO,15.84,26.47,6.2,1082.0,0,1082.0,0,7.92,5216.199307869788,0.0011886048891279,,-69.00711821874029,1151.0071182187403,1,nao_outlier,0
319,16.09,22.17,5.7,1107,NÃO,16.09,22.17,5.7,1107.0,0,1107.0,0,8.045,4507.831382345136,0.0012644661072115,,2.6588841459774812,1104.3411158540225,1,nao_outlier,0
324,14.73,24.76,4.8,1133,NÃO,14.73,24.76,4.8,1133.0,0,1133.0,0,7.365,4219.354501055371,0.0011376147699368,,112.65768840247006,1020.3423115975299,1,nao_outlier,0
304,16.11,30.19,4.6,967,NÃO,16.11,30.19,4.6,967.0,0,967.0,0,8.055,6153.809887070195,0.0007475044053059,,-34.67591065164265,1001.6759106516427,-1,outlier,1
333,17.43,23.91,6.0,1287,NÃO,17.43,23.91,6.0,1287.0,0,1287.0,0,8.715,5705.112748843287,0.0010516882424832,,154.65928272714677,1132.3407172728532,1,nao_outlier,0
272,12.33,23.17,3.0,655,NÃO,12.33,23.17,3.0,655.0,0,655.0,0,6.165,2766.5725806000564,0.0010843742257249,,-197.34470308454502,852.344703084545,-1,outlier,1
322,16.22,26.87,5.9,1105,NÃO,16.22,26.87,5.9,1105.0,0,1105.0,0,8.11,5552.1251576194245,0.0010626561600296,,-18.00751679990958,1123.0075167999096,1,nao_outlier,0
273,13.04,18.13,2.5,762,NÃO,13.04,18.13,2.5,762.0,0,762.0,0,6.52,2421.2680329852947,0.0010325168324787,,-43.67870071982702,805.678700719827,1,nao_outlier,0
327,16.14,22.17,4.8,1104,NÃO,16.14,22.17,4.8,1104.0,0,1104.0,0,8.07,4535.891267185921,0.0010582264250302,,83.65768840247006,1020.3423115975299,1,nao_outlier,0
331,16.81,28.15,6.7,1167,NÃO,16.81,28.15,6.7,1167.0,0,1167.0,0,8.405,6247.463211374384,0.0010724352866619,,-30.673120583458513,1197.6731205834585,1,nao_outlier,0
339,17.35,23.92,6.0,1254,NÃO,17.35,23.92,6.0,1254.0,0,1254.0,0,8.675,5655.2266459000975,0.0010609654352845,,121.65928272714677,1132.3407172728532,1,nao_outlier,0
342,18.14,25.07,6.9,1340,NÃO,18.14,25.07,6.9,1340.0,0,1340.0,0,9.07,6479.161133591657,0.0010649526779364,,123.6604784706542,1216.3395215293458,1,nao_outlier,0
343,18.1,30.37,8.2,1289,NÃO,18.1,30.37,8.2,1289.0,0,1289.0,0,9.05,7814.331357474078,0.0010493540169827,,-48.6711276776125,1337.6711276776125,1,nao_outlier,0
286,13.49,22.33,3.4,775,NÃO,13.49,22.33,3.4,775.0,0,775.0,0,6.745,3191.5562549113592,0.0010653110045507,,-114.67750497631937,889.6775049763194,1,nao_outlier,0
306,14.74,20.5,3.7,909,NÃO,14.74,20.5,3.7,909.0,0,909.0,0,7.37,3498.1522671183147,0.0010577012426757,,-8.677106395150304,917.6771063951503,1,nao_outlier,0
332,16.63,31.45,7.5,1250,NÃO,16.63,31.45,7.5,1250.0,0,1250.0,0,8.315,6831.168997982345,0.0010979087184368,,-22.338724367007217,1272.3387243670072,1,nao_outlier,0
